date,pm25
2020-01-17T00:00:00.000Z,1.61
2020-01-20T00:00:00.000Z,10.0
2020-01-21T00:00:00.000Z,20.91
2020-01-22T00:00:00.000Z,20.83
2020-01-23T00:00:00.000Z,64.72
2020-01-24T00:00:00.000Z,66.55
2020-01-25T00:00:00.000Z,154.6
2020-01-26T00:00:00.000Z,66.23
2020-01-27T00:00:00.000Z,30.05
2020-01-28T00:00:00.000Z,94.71
2020-01-29T00:00:00.000Z,6.96
2020-01-30T00:00:00.000Z,4.99
2020-01-31T00:00:00.000Z,20.38
2020-02-01T00:00:00.000Z,50.76
2020-02-02T00:00:00.000Z,80.59
2020-02-03T00:00:00.000Z,67.97
2020-02-04T00:00:00.000Z,5.09
2020-02-05T00:00:00.000Z,1.76
2020-02-06T00:00:00.000Z,1.81
2020-02-07T00:00:00.000Z,4.3
2020-02-08T00:00:00.000Z,37.9
2020-02-09T00:00:00.000Z,32.79
2020-02-10T00:00:00.000Z,59.61
2020-02-11T00:00:00.000Z,5.77
2020-02-12T00:00:00.000Z,1.09
2020-02-13T00:00:00.000Z,4.87
2020-02-14T00:00:00.000Z,28.02
2020-02-15T00:00:00.000Z,7.22
2020-02-16T00:00:00.000Z,58.21
2020-02-17T00:00:00.000Z,39.79
2020-02-18T00:00:00.000Z,64.03
2020-02-19T00:00:00.000Z,36.59
2020-02-20T00:00:00.000Z,22.84
2020-02-21T00:00:00.000Z,14.26
2020-02-22T00:00:00.000Z,38.08
2020-02-23T00:00:00.000Z,35.81
2020-02-24T00:00:00.000Z,44.16
2020-02-25T00:00:00.000Z,50.79
2020-02-26T00:00:00.000Z,1.74
2020-02-27T00:00:00.000Z,0.48
2020-02-28T00:00:00.000Z,1.17
2020-02-29T00:00:00.000Z,2.9
2020-03-01T00:00:00.000Z,20.85
2020-03-02T00:00:00.000Z,4.07
2020-03-03T00:00:00.000Z,4.54
2020-03-04T00:00:00.000Z,3.22
2020-03-05T00:00:00.000Z,9.63
2020-03-06T00:00:00.000Z,11.57
2020-03-07T00:00:00.000Z,5.62
2020-03-08T00:00:00.000Z,4.04
2020-03-09T00:00:00.000Z,5.7
2020-03-10T00:00:00.000Z,9.06
2020-03-11T00:00:00.000Z,10.77
2020-03-12T00:00:00.000Z,23.36
2020-03-13T00:00:00.000Z,12.22
2020-03-14T00:00:00.000Z,3.07
2020-03-15T00:00:00.000Z,2.47
2020-03-16T00:00:00.000Z,4.18
2020-03-17T00:00:00.000Z,10.89
2020-03-18T00:00:00.000Z,17.57
2020-03-19T00:00:00.000Z,18.59
2020-03-20T00:00:00.000Z,23.26
2020-03-21T00:00:00.000Z,12.35
2020-03-22T00:00:00.000Z,4.76
2020-03-23T00:00:00.000Z,1.64
2020-03-24T00:00:00.000Z,3.44
2020-03-25T00:00:00.000Z,3.26
2020-03-26T00:00:00.000Z,14.5
2020-03-27T00:00:00.000Z,16.78
2020-03-28T00:00:00.000Z,10.5
2020-03-29T00:00:00.000Z,8.46
2020-03-30T00:00:00.000Z,4.18
2020-03-31T00:00:00.000Z,2.54
2020-04-01T00:00:00.000Z,3.85
2020-04-03T00:00:00.000Z,5.91
2020-04-04T00:00:00.000Z,10.24
2020-04-05T00:00:00.000Z,6.28
2020-04-06T00:00:00.000Z,8.13
2020-04-07T00:00:00.000Z,7.61
2020-04-08T00:00:00.000Z,4.51
2020-04-09T00:00:00.000Z,3.82
2020-04-10T00:00:00.000Z,6.3
2020-04-11T00:00:00.000Z,6.4
2020-04-12T00:00:00.000Z,3.65
2020-04-13T00:00:00.000Z,6.09
2020-04-14T00:00:00.000Z,3.75
2020-04-15T00:00:00.000Z,3.78
2020-04-16T00:00:00.000Z,4.55
2020-04-17T00:00:00.000Z,7.01
2020-04-18T00:00:00.000Z,5.95
2020-04-19T00:00:00.000Z,8.81
2020-04-20T00:00:00.000Z,9.55
2020-04-21T00:00:00.000Z,10.1
2020-04-22T00:00:00.000Z,4.51
2020-04-23T00:00:00.000Z,5.75
2020-04-24T00:00:00.000Z,6.72
2020-04-25T00:00:00.000Z,3.17
2020-04-26T00:00:00.000Z,2.66
2020-04-27T00:00:00.000Z,2.91
2020-04-28T00:00:00.000Z,1.58
2020-04-29T00:00:00.000Z,2.5
2020-04-30T00:00:00.000Z,1.3
2020-05-01T00:00:00.000Z,1.24
2020-05-02T00:00:00.000Z,2.04
2020-05-03T00:00:00.000Z,1.23
2020-05-04T00:00:00.000Z,0.92
2020-05-05T00:00:00.000Z,1.78
2020-05-06T00:00:00.000Z,2.56
2020-05-07T00:00:00.000Z,2.25
2020-05-08T00:00:00.000Z,1.65
2020-05-09T00:00:00.000Z,1.17
2020-05-10T00:00:00.000Z,2.72
2020-05-11T00:00:00.000Z,1.25
2020-05-12T00:00:00.000Z,1.03
2020-05-13T00:00:00.000Z,7.07
2020-05-14T00:00:00.000Z,10.86
2020-05-15T00:00:00.000Z,0.75
2020-05-16T00:00:00.000Z,6.84
2020-05-17T00:00:00.000Z,7.6
2020-05-18T00:00:00.000Z,8.11
2020-05-19T00:00:00.000Z,17.12
2020-05-20T00:00:00.000Z,4.04
2020-05-21T00:00:00.000Z,2.44
2020-05-22T00:00:00.000Z,1.84
2020-05-23T00:00:00.000Z,2.12
2020-05-24T00:00:00.000Z,1.2
2020-05-25T00:00:00.000Z,1.0
2020-05-26T00:00:00.000Z,0.8
2020-05-27T00:00:00.000Z,0.77
2020-05-28T00:00:00.000Z,1.3
2020-05-29T00:00:00.000Z,1.2
2020-05-30T00:00:00.000Z,2.4
2020-05-31T00:00:00.000Z,2.04
2020-06-01T00:00:00.000Z,1.12
2020-06-02T00:00:00.000Z,1.27
2020-06-03T00:00:00.000Z,1.52
2020-06-04T00:00:00.000Z,1.67
2020-06-05T00:00:00.000Z,1.86
2020-06-06T00:00:00.000Z,1.48
2020-06-07T00:00:00.000Z,1.3
2020-06-08T00:00:00.000Z,5.9
2020-06-09T00:00:00.000Z,1.95
2020-06-10T00:00:00.000Z,0.97
2020-06-11T00:00:00.000Z,2.02
2020-06-12T00:00:00.000Z,1.6
2020-06-13T00:00:00.000Z,1.3
2020-06-14T00:00:00.000Z,0.7
